feature,importance
suspicious_tld,1.1566509665046005
num_hyphens,0.9918893724295629
is_shortener,0.8110448112046363
num_digits_url,0.8037039681294734
credential_cues,0.7445487347913212
brand_impersonation,0.717071019895284
num_words,0.6203027262762527
money_cues,0.5978509291847699
host_length,0.5833821683993731
url_length,0.5795802454225628
has_https,0.5452250389458048
query_length,0.42072216211403896
path_length,0.40139246130695794
url_entropy,0.3863886868879581
num_question,0.37853785961979974
brand_in_host,0.34668315160584856
has_dollar,0.3087698842467721
url_present,0.3050180624160684
has_login_token,0.2858016604554253
urgency_cues,0.262504543203436
has_url_in_text,0.25341927037737016
num_urls_in_text,0.25341927037737016
obfuscation,0.21780673896749966
upper_ratio,0.18129693585536988
num_slashes,0.17987067627957756
has_ip,0.17231541751603915
brand_in_path,0.17231541751603915
text_length,0.13566350777574113
num_subdomains,0.1120633298767471
num_exclaim,0.07477617696615242
num_at,0.04830618792492499
has_at_in_url,0.04830618792492499
num_dots,0.02793201969648292
has_port,0.0
double_slash_redirect,0.0
